czb_id,sample_name,sample_type,nucleotide_type,collection_date,host_genus_species,sampleID,site,recap,previous_ID,sex,class,yoy,mom_baby_pair,mass_g,forearm_mm,CoV
RR034B_154_fecRa,RR034B_154_fecRa_S43,feces,RNA,7/27/18,Eidolon dupreanum,KEL224,"AngavoKely, Madagascar",N,,m,A,N,N,370,131.4,N
RR034B_155_fecRa,RR034B_155_fecRa_S47,feces,RNA,7/27/18,Eidolon dupreanum,KEL225,"AngavoKely, Madagascar",N,,m,A,N,N,320,124.8,Y
RR034B_156_fecRa,RR034B_156_fecRa_S49,feces,RNA,7/27/18,Eidolon dupreanum,KEL226,"AngavoKely, Madagascar",Y,,m,A,N,N,340,115.9,Y
RR034B_157_fecRa,RR034B_157_fecRa_S51,feces,RNA,7/27/18,Eidolon dupreanum,KEL227,"AngavoKely, Madagascar",N,,f,NL,N,N,330,127.6,N
RR034B_158_fecRa,RR034B_158_fecRa_S53,feces,RNA,7/27/18,Eidolon dupreanum,KEL228,"AngavoKely, Madagascar",N,,f,J,Y,N,230,118,Y
RR034B_159_fecRa,RR034B_159_fecRa_S55,feces,RNA,7/27/18,Eidolon dupreanum,KEL229,"AngavoKely, Madagascar",N,,m,A,N,N,340,131.6,N
RR034B_160_fecRa,RR034B_160_fecRa_S71,feces,RNA,7/27/18,Eidolon dupreanum,KEL230,"AngavoKely, Madagascar",N,,m,A,N,N,310,127.4,Y
RR034B_161_fecRa,RR034B_161_fecRa_S73,feces,RNA,7/27/18,Eidolon dupreanum,KEL231,"AngavoKely, Madagascar",N,,m,A,N,N,310,128.9,N
RR034B_162_fecRa,RR034B_162_fecRa_S77,feces,RNA,7/27/18,Eidolon dupreanum,KEL232,"AngavoKely, Madagascar",N,,m,A,N,N,340,126.8,Y
RR034B_163_fecRa,RR034B_163_fecRa_S79,feces,RNA,7/27/18,Eidolon dupreanum,KEL233,"AngavoKely, Madagascar",N,,m,A,N,N,300,122.8,N
RR034B_164_fecRa,RR034B_164_fecRa_S81,feces,RNA,7/27/18,Eidolon dupreanum,KEL234,"AngavoKely, Madagascar",N,,m,A,N,N,270,117,Y
RR034B_165_fecRa,RR034B_165_fecRa_S83,feces,RNA,7/27/18,Eidolon dupreanum,KEL236,"AngavoKely, Madagascar",N,,m,J,Y,N,310,116.5,Y
RR034B_166_fecRa,RR034B_166_fecRa_S99,feces,RNA,7/27/18,Eidolon dupreanum,KEL238,"AngavoKely, Madagascar",N,,f,NL,N,N,340,129.1,N
RR034B_167_fecRa,RR034B_167_fecRa_S101,feces,RNA,1/6/19,Eidolon dupreanum,KEL239,"AngavoKely, Madagascar",N,,f,A,N,N,131,133.2,Y
RR034B_168_fecRa,RR034B_168_fecRa_S103,feces,RNA,1/6/19,Eidolon dupreanum,KEL240,"AngavoKely, Madagascar",,,f,A,N,N,341,132,Y
RR034B_169_fecRa,RR034B_169_fecRa_S105,feces,RNA,1/6/19,Eidolon dupreanum,KEL241,"AngavoKely, Madagascar",Y,,f,NL,N,N,325,128.2,N
RR034B_171_fecRa,RR034B_171_fecRa_S109,feces,RNA,1/6/19,Eidolon dupreanum,KEL243,"AngavoKely, Madagascar",N,,m,A,N,N,150,131.4,N
RR034B_172_fecRa,RR034B_172_fecRa_S111,feces,RNA,1/6/19,Eidolon dupreanum,KEL244,"AngavoKely, Madagascar",N,,f,NL,N,N,168,112.6,Y
RR034B_173_fecRa,RR034B_173_fecRa_S127,feces,RNA,1/6/19,Eidolon dupreanum,KEL245,"AngavoKely, Madagascar",N,,m,A,N,N,120,123,N
RR034B_174_fecRa,RR034B_174_fecRa_S129,feces,RNA,1/6/19,Eidolon dupreanum,KEL246,"AngavoKely, Madagascar",N,,m,A,N,N,145,165.3,Y
RR034B_175_fecRa,RR034B_175_fecRa_S131,feces,RNA,1/6/19,Eidolon dupreanum,KEL247,"AngavoKely, Madagascar",N,,f,NL,N,N,175,114.2,Y
RR034B_176_fecRa,RR034B_176_fecRa_S133,feces,RNA,1/6/19,Eidolon dupreanum,KEL248,"AngavoKely, Madagascar",N,,m,A,N,N,135,131.5,Y
RR034B_177_fecRa,RR034B_177_fecRa_S135,feces,RNA,1/6/19,Eidolon dupreanum,KEL249,"AngavoKely, Madagascar",,,m,A,N,N,185,113.8,N
RR034B_178_fecRa,RR034B_178_fecRa_S137,feces,RNA,1/6/19,Eidolon dupreanum,KEL250,"AngavoKely, Madagascar",N,,m,A,N,N,184,134.5,N
RR034B_179_fecRa,RR034B_179_fecRa_S139,feces,RNA,1/6/19,Eidolon dupreanum,KEL251,"AngavoKely, Madagascar",N,,f,NL,N,N,155,108.3,Y
RR034B_180_fecRa,RR034B_180_fecRa_S155,feces,RNA,1/6/19,Eidolon dupreanum,KEL252,"AngavoKely, Madagascar",Y,,m,A,N,N,395,136,N
RR034B_181_fecRa,RR034B_181_fecRa_S157,feces,RNA,1/6/19,Eidolon dupreanum,KEL253,"AngavoKely, Madagascar",N,,m,A,N,N,207,129.4,N
RR034B_182_fecRa,RR034B_182_fecRa_S159,feces,RNA,1/6/19,Eidolon dupreanum,KEL254,"AngavoKely, Madagascar",N,,m,A,N,N,173,129.9,N
RR034B_183_fecRa,RR034B_183_fecRa_S161,feces,RNA,1/7/19,Eidolon dupreanum,KEL266,"AngavoKely, Madagascar",N,,f,NL,N,N,360,137.9,N
RR034B_184_fecRa,RR034B_184_fecRa_S163,feces,RNA,1/7/19,Eidolon dupreanum,KEL267,"AngavoKely, Madagascar",Y,,m,A,N,N,162,124.4,N
RR034B_185_fecRa,RR034B_185_fecRa_S165,feces,RNA,1/7/19,Eidolon dupreanum,KEL268,"AngavoKely, Madagascar",N,,m,A,N,N,182,128.2,N
RR034B_186_fecRa,RR034B_186_fecRa_S167,feces,RNA,1/7/19,Eidolon dupreanum,KEL269,"AngavoKely, Madagascar",Y,,m,A,N,N,245,130.8,Y
RR034B_187_fecRa,RR034B_187_fecRa_S183,feces,RNA,1/7/19,Eidolon dupreanum,KEL270,"AngavoKely, Madagascar",N,,f,NL,N,N,125,131.3,N
RR034B_188_fecRa,RR034B_188_fecRa_S185,feces,RNA,1/7/19,Eidolon dupreanum,KEL271,"AngavoKely, Madagascar",N,,f,NL,N,N,315,128.8,Y
RR034B_189_fecRa,RR034B_189_fecRa_S187,feces,RNA,1/7/19,Eidolon dupreanum,KEL272,"AngavoKely, Madagascar",N,,m,A,N,N,150,124.3,N
RR034B_190_fecRa,RR034B_190_fecRa_S189,feces,RNA,1/7/19,Eidolon dupreanum,KEL273,"AngavoKely, Madagascar",Y,,m,A,N,N,340,126.8,Y
RR034B_191_fecRa,RR034B_191_fecRa_S191,feces,RNA,1/7/19,Eidolon dupreanum,KEL274,"AngavoKely, Madagascar",N,,f,NL,N,N,165,130.2,N
RR034B_192_fecRa,RR034B_192_fecRa_S193,feces,RNA,1/7/19,Eidolon dupreanum,KEL275,"AngavoKely, Madagascar",Y,,m,A,N,N,165,128.7,N
RR034B_193_fecRa,RR034B_193_fecRa_S195,feces,RNA,2/18/18,Rousettus madagascariensis,MIZ135,"Maromizaha, Madagascar",N,,f,J,Y,Y,20,50.5,N
RR034B_194_fecRa,RR034B_194_fecRa_S11,feces,RNA,2/18/18,Rousettus madagascariensis,MIZ136,"Maromizaha, Madagascar",N,,f,L,N,Y,60,67.9,N
RR034B_195_fecRa,RR034B_195_fecRa_S13,feces,RNA,2/18/18,Rousettus madagascariensis,MIZ137,"Maromizaha, Madagascar",N,,f,J,N,N,40,58.2,N
RR034B_196_fecRa,RR034B_196_fecRa_S15,feces,RNA,2/18/18,Rousettus madagascariensis,MIZ138,"Maromizaha, Madagascar",N,,f,NL,N,N,60,73.2,N
RR034B_197_fecRa,RR034B_197_fecRa_S17,feces,RNA,2/18/18,Rousettus madagascariensis,MIZ140,"Maromizaha, Madagascar",N,,f,L,N,Y,60,64.9,N
RR034B_198_fecRa,RR034B_198_fecRa_S19,feces,RNA,2/18/18,Rousettus madagascariensis,MIZ141,"Maromizaha, Madagascar",N,,m,J,Y,Y,20,51.1,N
RR034B_199_fecRa,RR034B_199_fecRa_S21,feces,RNA,2/18/18,Rousettus madagascariensis,MIZ142,"Maromizaha, Madagascar",N,,m,A,N,N,60,71.3,N
RR034B_200_fecRa,RR034B_200_fecRa_S23,feces,RNA,2/18/18,Rousettus madagascariensis,MIZ143,"Maromizaha, Madagascar",N,,f,NL,N,N,50,63.4,N
RR034B_201_fecRa,RR034B_201_fecRa_S39,feces,RNA,2/18/18,Rousettus madagascariensis,MIZ145,"Maromizaha, Madagascar",N,,f,L,N,Y,50,69.4,N
RR034B_202_fecRa,RR034B_202_fecRa_S41,feces,RNA,2/18/18,Rousettus madagascariensis,MIZ146,"Maromizaha, Madagascar",N,,m,A,N,N,60,72.5,N
RR034B_203_fecRa,RR034B_203_fecRa_S43,feces,RNA,2/18/18,Rousettus madagascariensis,MIZ147,"Maromizaha, Madagascar",N,,f,NL,N,N,55,71.6,N
RR034B_204_fecRa,RR034B_204_fecRa_S45,feces,RNA,2/18/18,Rousettus madagascariensis,MIZ148,"Maromizaha, Madagascar",N,,m,A,N,N,55,69.7,N
RR034B_205_fecRa,RR034B_205_fecRa_S47,feces,RNA,2/18/18,Rousettus madagascariensis,MIZ149,"Maromizaha, Madagascar",N,,f,NL,N,N,60,71.4,N
RR034B_206_fecRa,RR034B_206_fecRa_S49,feces,RNA,2/18/18,Rousettus madagascariensis,MIZ150,"Maromizaha, Madagascar",N,,f,NL,N,N,50,73.4,N
RR034B_207_fecRa,RR034B_207_fecRa_S51,feces,RNA,2/18/18,Rousettus madagascariensis,MIZ151,"Maromizaha, Madagascar",N,,m,A,N,N,60,72.5,N
RR034B_208_fecRa,RR034B_208_fecRa_S67,feces,RNA,2/18/18,Rousettus madagascariensis,MIZ152,"Maromizaha, Madagascar",N,,f,NL,N,N,48,68.8,N
RR034B_209_fecRa,RR034B_209_fecRa_S69,feces,RNA,2/19/18,Rousettus madagascariensis,MIZ153,"Maromizaha, Madagascar",N,,m,J,Y,Y,30,35.8,N
RR034B_210_fecRa,RR034B_210_fecRa_S71,feces,RNA,2/19/18,Rousettus madagascariensis,MIZ154,"Maromizaha, Madagascar",N,,f,L,N,Y,50,71,N
RR034B_211_fecRa,RR034B_211_fecRa_S73,feces,RNA,2/19/18,Rousettus madagascariensis,MIZ155,"Maromizaha, Madagascar",N,,f,L,N,Y,50,71,N
RR034B_212_fecRa,RR034B_212_fecRa_S75,feces,RNA,2/19/18,Rousettus madagascariensis,MIZ156,"Maromizaha, Madagascar",N,,f,J,Y,Y,27,55,N
RR034B_213_fecRa,RR034B_213_fecRa_S79,feces,RNA,2/19/18,Rousettus madagascariensis,MIZ158,"Maromizaha, Madagascar",N,,f,J,Y,Y,25,52,N
RR034B_214_fecRa,RR034B_214_fecRa_S77,feces,RNA,2/19/18,Rousettus madagascariensis,MIZ159,"Maromizaha, Madagascar",N,,f,L,N,Y,50,71.5,N
RR034B_215_fecRa,RR034B_215_fecRa_S95,feces,RNA,2/19/18,Rousettus madagascariensis,MIZ160,"Maromizaha, Madagascar",N,,f,J,Y,Y,20,49.1,N
RR034B_216_fecRa,RR034B_216_fecRa_S97,feces,RNA,2/19/18,Rousettus madagascariensis,MIZ161,"Maromizaha, Madagascar",N,,f,NL,N,N,60,70.3,N
RR034B_217_fecRa,RR034B_217_fecRa_S99,feces,RNA,2/19/18,Rousettus madagascariensis,MIZ162,"Maromizaha, Madagascar",N,,f,NL,N,N,45,73.7,N
RR034B_218_fecRa,RR034B_218_fecRa_S101,feces,RNA,2/19/18,Rousettus madagascariensis,MIZ163,"Maromizaha, Madagascar",N,,f,NL,N,N,30,54.6,Y
RR034B_220_fecRa,RR034B_220_fecRa_S103,feces,RNA,4/13/18,Rousettus madagascariensis,MIZ165,"Maromizaha, Madagascar",NA,,f,NL,N,N,55,68.9,Y
RR034B_221_fecRa,RR034B_221_fecRa_S105,feces,RNA,4/13/18,Rousettus madagascariensis,MIZ167,"Maromizaha, Madagascar",Y,,f,NL,N,N,60,72,N
RR034B_223_fecRa,RR034B_223_fecRa_S1,feces,RNA,4/13/18,Rousettus madagascariensis,MIZ169,"Maromizaha, Madagascar",NA,,m,A,N,N,60,72.7,N
RR034B_224_fecRa,RR034B_224_fecRa_S3,feces,RNA,4/13/18,Rousettus madagascariensis,MIZ170,"Maromizaha, Madagascar",NA,,m,A,N,N,55,66.9,N
RR034B_225_fecRa,RR034B_225_fecRa_S5,feces,RNA,4/13/18,Rousettus madagascariensis,MIZ171,"Maromizaha, Madagascar",NA,,m,A,N,N,65,69.7,N
RR034B_226_fecRa,RR034B_226_fecRa_S9,feces,RNA,4/13/18,Rousettus madagascariensis,MIZ172,"Maromizaha, Madagascar",NA,,m,A,N,N,60,67.3,N
RR034B_227_fecRa,RR034B_227_fecRa_S107,feces,RNA,4/13/18,Rousettus madagascariensis,MIZ173,"Maromizaha, Madagascar",NA,,f,NL,N,N,60,70.1,N
RR034B_228_fecRa,RR034B_228_fecRa_S11,feces,RNA,4/13/18,Rousettus madagascariensis,MIZ174,"Maromizaha, Madagascar",NA,,m,A,N,N,75,73.5,Y
RR034B_229_fecRa,RR034B_229_fecRa_S13,feces,RNA,4/13/18,Rousettus madagascariensis,MIZ175,"Maromizaha, Madagascar",NA,,f,NL,N,N,60,76.1,N
RR034B_230_fecRa,RR034B_230_fecRa_S29,feces,RNA,4/13/18,Rousettus madagascariensis,MIZ176,"Maromizaha, Madagascar",NA,,m,J,Y,N,35,61.1,N
RR034B_231_fecRa,RR034B_231_fecRa_S31,feces,RNA,4/13/18,Rousettus madagascariensis,MIZ177,"Maromizaha, Madagascar",NA,,f,NL,N,N,55,74.2,N
RR034B_232_fecRa,RR034B_232_fecRa_S33,feces,RNA,4/14/18,Rousettus madagascariensis,MIZ178,"Maromizaha, Madagascar",NA,,m,A,N,N,65,71.8,Y
RR034B_233_fecRa,RR034B_233_fecRa_S35,feces,RNA,4/14/18,Rousettus madagascariensis,MIZ179,"Maromizaha, Madagascar",NA,,m,A,N,N,75,74.3,N
RR034B_234_fecRa,RR034B_234_fecRa_S37,feces,RNA,4/14/18,Rousettus madagascariensis,MIZ180,"Maromizaha, Madagascar",NA,,m,A,N,N,80,73.5,N
RR034B_235_fecRa,RR034B_235_fecRa_S39,feces,RNA,4/14/18,Rousettus madagascariensis,MIZ181,"Maromizaha, Madagascar",NA,,m,A,N,N,60,67.6,N
RR034B_235_fecRb,RR034B_235_fecRb_S65,feces,RNA,4/14/18,Rousettus madagascariensis,MIZ181,"Maromizaha, Madagascar",NA,,m,A,N,N,60,67.6,N
RR034B_236_fecRa,RR034B_236_fecRa_S41,feces,RNA,4/14/18,Rousettus madagascariensis,MIZ183,"Maromizaha, Madagascar",NA,,m,A,N,N,60,74,N
RR034B_237_fecRa,RR034B_237_fecRa_S57,feces,RNA,4/14/18,Rousettus madagascariensis,MIZ184,"Maromizaha, Madagascar",NA,,f,NL,N,N,55,72.5,N
RR034B_238_fecRa,RR034B_238_fecRa_S59,feces,RNA,4/14/18,Rousettus madagascariensis,MIZ185,"Maromizaha, Madagascar",NA,,m,A,N,N,65,72.1,N
RR034B_239_fecRa,RR034B_239_fecRa_S61,feces,RNA,4/14/18,Rousettus madagascariensis,MIZ186,"Maromizaha, Madagascar",NA,,m,A,N,N,55,73.8,N
RR034B_239_fecRa,RR034B_239_fecRa_S61,feces,RNA,4/14/18,Rousettus madagascariensis,MIZ186,"Maromizaha, Madagascar",NA,,m,A,N,N,55,73.8,Y
RR034B_239_fecRb,RR034B_239_fecRb_S63,feces,RNA,4/14/18,Rousettus madagascariensis,MIZ186,"Maromizaha, Madagascar",NA,,m,A,N,N,55,73.8,N
RR034B_242_fecRa,RR034B_242_fecRa_S67,feces,RNA,7/29/18,Rousettus madagascariensis,MIZ188,"Maromizaha, Madagascar",N,,m,A,N,N,55,69.7,Y
RR034B_243_fecRa,RR034B_243_fecRa_S69,feces,RNA,7/29/18,Rousettus madagascariensis,MIZ189,"Maromizaha, Madagascar",N,,f,NL,N,N,60,74.6,N
RR034B_244_fecRa,RR034B_244_fecRa_S85,feces,RNA,7/29/18,Rousettus madagascariensis,MIZ190,"Maromizaha, Madagascar",N,,m,A,N,N,60,71.4,Y
RR034B_246_fecRa,RR034B_246_fecRa_S89,feces,RNA,7/29/18,Rousettus madagascariensis,MIZ192,"Maromizaha, Madagascar",N,,f,NL,N,N,50,69.2,N
RR034B_247_fecRa,RR034B_247_fecRa_S91,feces,RNA,7/29/18,Rousettus madagascariensis,MIZ193,"Maromizaha, Madagascar",N,,f,J,Y,N,35,63,N
RR034B_248_fecRa,RR034B_248_fecRa_S93,feces,RNA,7/29/18,Rousettus madagascariensis,MIZ194,"Maromizaha, Madagascar",N,,f,NL,N,N,45,68,N
RR034B_249_fecRa,RR034B_249_fecRa_S95,feces,RNA,7/29/18,Rousettus madagascariensis,MIZ195,"Maromizaha, Madagascar",N,,f,NL,N,N,55,71.8,N
RR034B_250_fecRa,RR034B_250_fecRa_S97,feces,RNA,7/29/18,Rousettus madagascariensis,MIZ196,"Maromizaha, Madagascar",N,,m,A,N,N,50,66.1,Y
RR034B_2500_fecRa,RR034B_2500_fecRa_S8,feces,RNA,7/29/18,Rousettus madagascariensis,MIZ196,"Maromizaha, Madagascar",N,,m,A,N,N,50,66.1,N
RR034B_251_fecRa,RR034B_251_fecRa_S113,feces,RNA,7/29/18,Rousettus madagascariensis,MIZ197,"Maromizaha, Madagascar",N,,f,NL,N,N,50,69.1,N
RR034B_252_fecRa,RR034B_252_fecRa_S115,feces,RNA,7/29/18,Rousettus madagascariensis,MIZ198,"Maromizaha, Madagascar",N,,m,A,N,N,60,69.1,N
RR034B_253_fecRa,RR034B_253_fecRa_S117,feces,RNA,7/29/18,Rousettus madagascariensis,MIZ199,"Maromizaha, Madagascar",N,,f,NL,N,N,50,67.1,N
RR034B_254_fecRa,RR034B_254_fecRa_S119,feces,RNA,7/29/18,Rousettus madagascariensis,MIZ200,"Maromizaha, Madagascar",N,,m,A,N,N,60,70.4,N
RR034B_255_fecRa,RR034B_255_fecRa_S121,feces,RNA,7/29/18,Rousettus madagascariensis,MIZ201,"Maromizaha, Madagascar",N,,f,NL,N,N,45,63.1,N
RR034B_256_fecRa,RR034B_256_fecRa_S123,feces,RNA,7/29/18,Rousettus madagascariensis,MIZ202,"Maromizaha, Madagascar",N,,f,NL,N,N,55,73.3,Y
RR034B_257_fecRa,RR034B_257_fecRa_S125,feces,RNA,7/29/18,Rousettus madagascariensis,MIZ203,"Maromizaha, Madagascar",N,,f,NL,N,N,40,67,N
RR034B_258_fecRa,RR034B_258_fecRa_S141,feces,RNA,7/29/18,Rousettus madagascariensis,MIZ204,"Maromizaha, Madagascar",N,,m,A,N,N,60,69.8,N
RR034B_259_fecRa,RR034B_259_fecRa_S143,feces,RNA,7/29/18,Rousettus madagascariensis,MIZ205,"Maromizaha, Madagascar",N,,m,A,N,N,60,72.6,N
RR034B_260_fecRa,RR034B_260_fecRa_S145,feces,RNA,7/29/18,Rousettus madagascariensis,MIZ206,"Maromizaha, Madagascar",N,,m,A,N,N,50,73.3,Y
RR034B_261_fecRa,RR034B_261_fecRa_S147,feces,RNA,7/29/18,Rousettus madagascariensis,MIZ207,"Maromizaha, Madagascar",N,,f,NL,N,N,40,68.2,N
RR034B_262_fecRa,RR034B_262_fecRa_S149,feces,RNA,7/29/18,Rousettus madagascariensis,MIZ208,"Maromizaha, Madagascar",N,,m,A,N,N,45,72.9,Y
RR034B_263_fecRa,RR034B_263_fecRa_S151,feces,RNA,7/29/18,Rousettus madagascariensis,MIZ209,"Maromizaha, Madagascar",N,,m,A,N,N,40,71.3,N
RR034B_264_fecRa,RR034B_264_fecRa_S153,feces,RNA,7/29/18,Rousettus madagascariensis,MIZ210,"Maromizaha, Madagascar",N,,m,A,N,N,65,73.2,N
RR034B_265_fecRa,RR034B_265_fecRa_S169,feces,RNA,7/29/18,Rousettus madagascariensis,MIZ211,"Maromizaha, Madagascar",N,,m,A,N,N,60,69,N
RR034B_266_fecRa,RR034B_266_fecRa_S171,feces,RNA,7/29/18,Rousettus madagascariensis,MIZ212,"Maromizaha, Madagascar",N,,f,NL,N,N,50,69.3,N
RR034B_267_fecRa,RR034B_267_fecRa_S173,feces,RNA,7/29/18,Rousettus madagascariensis,MIZ213,"Maromizaha, Madagascar",N,,m,A,N,N,80,72,N
RR034B_268_fecRa,RR034B_268_fecRa_S175,feces,RNA,9/11/18,Rousettus madagascariensis,MIZ214,"Maromizaha, Madagascar",N,,m,A,N,N,65,70.4,N
RR034B_269_fecRa,RR034B_269_fecRa_S177,feces,RNA,9/11/18,Rousettus madagascariensis,MIZ215,"Maromizaha, Madagascar",N,,m,A,N,N,75,71.3,N
RR034B_270_fecRa,RR034B_270_fecRa_S179,feces,RNA,9/11/18,Rousettus madagascariensis,MIZ218,"Maromizaha, Madagascar",N,,m,A,N,N,75,70.3,N
RR034B_271_fecRa,RR034B_271_fecRa_S181,feces,RNA,9/11/18,Rousettus madagascariensis,MIZ219,"Maromizaha, Madagascar",N,,m,A,N,N,70,73.5,N
RR034B_272_fecRa,RR034B_272_fecRa_S197,feces,RNA,9/11/18,Rousettus madagascariensis,MIZ220,"Maromizaha, Madagascar",N,,m,A,N,N,70,73.8,N
RR034B_273_fecRa,RR034B_273_fecRa_S199,feces,RNA,9/11/18,Rousettus madagascariensis,MIZ221,"Maromizaha, Madagascar",N,,m,A,N,N,70,72.3,N
RR034B_274_fecRa,RR034B_274_fecRa_S1,feces,RNA,9/11/18,Rousettus madagascariensis,MIZ222,"Maromizaha, Madagascar",N,,f,NL,N,N,60,70.9,N
RR034B_275_fecRa,RR034B_275_fecRa_S3,feces,RNA,9/11/18,Rousettus madagascariensis,MIZ223,"Maromizaha, Madagascar",N,,f,NL,N,N,60,66.3,N
RR034B_276_fecRa,RR034B_276_fecRa_S5,feces,RNA,9/11/18,Rousettus madagascariensis,MIZ226,"Maromizaha, Madagascar",N,,m,A,N,N,70,74,N
RR034B_277_fecRa,RR034B_277_fecRa_S7,feces,RNA,9/11/18,Rousettus madagascariensis,MIZ227,"Maromizaha, Madagascar",N,,f,P,N,N,55,67.4,N
RR034B_278_fecRa,RR034B_278_fecRa_S9,feces,RNA,9/11/18,Rousettus madagascariensis,MIZ228,"Maromizaha, Madagascar",N,,f,P,N,N,65,68.5,N
RR034B_279_fecRa,RR034B_279_fecRa_S25,feces,RNA,9/11/18,Rousettus madagascariensis,MIZ229,"Maromizaha, Madagascar",N,,f,NL,N,N,45,69.1,N
RR034B_280_fecRa,RR034B_280_fecRa_S27,feces,RNA,9/11/18,Rousettus madagascariensis,MIZ230,"Maromizaha, Madagascar",N,,m,A,N,N,65,72.3,N
RR034B_281_fecRa,RR034B_281_fecRa_S29,feces,RNA,9/11/18,Rousettus madagascariensis,MIZ231,"Maromizaha, Madagascar",N,,f,J,Y,N,40,65.7,N
RR034B_282_fecRa,RR034B_282_fecRa_S31,feces,RNA,9/11/18,Rousettus madagascariensis,MIZ232,"Maromizaha, Madagascar",N,,f,J,Y,N,30,63.8,N
RR034B_283_fecRa,RR034B_283_fecRa_S33,feces,RNA,9/11/18,Rousettus madagascariensis,MIZ233,"Maromizaha, Madagascar",N,,m,J,Y,N,55,69.8,N
RR034B_284_fecRa,RR034B_284_fecRa_S35,feces,RNA,9/11/18,Rousettus madagascariensis,MIZ234,"Maromizaha, Madagascar",N,,f,J,Y,N,50,66.6,N
RR034B_285_fecRa,RR034B_285_fecRa_S37,feces,RNA,9/11/18,Rousettus madagascariensis,MIZ235,"Maromizaha, Madagascar",N,,m,A,N,N,65,72.9,N
RR034B_286_fecRa,RR034B_286_fecRa_S53,feces,RNA,9/11/18,Rousettus madagascariensis,MIZ238,"Maromizaha, Madagascar",N,,f,NL,N,N,45,73.2,N
RR034B_287_fecRa,RR034B_287_fecRa_S55,feces,RNA,9/11/18,Rousettus madagascariensis,MIZ239,"Maromizaha, Madagascar",N,,m,A,N,N,60,76.8,N
RR034B_288_fecRa,RR034B_288_fecRa_S59,feces,RNA,9/11/18,Rousettus madagascariensis,MIZ240,"Maromizaha, Madagascar",N,,m,A,N,N,50,73.9,Y
RR034B_289_fecRa,RR034B_289_fecRa_S61,feces,RNA,9/12/18,Rousettus madagascariensis,MIZ242,"Maromizaha, Madagascar",N,,m,A,N,N,60,68.8,N
RR034B_290_fecRa,RR034B_290_fecRa_S63,feces,RNA,9/12/18,Rousettus madagascariensis,MIZ243,"Maromizaha, Madagascar",N,,m,J,Y,N,35,60.7,N
RR034B_291_fecRa,RR034B_291_fecRa_S65,feces,RNA,12/13/18,Pteropus rufus,MLB001,"Mahialambo, Madagascar",N,,f,L,N,Y,660,175,N
RR034B_292_fecRa,RR034B_292_fecRa_S81,feces,RNA,12/13/18,Pteropus rufus,MLB002,"Mahialambo, Madagascar",N,,m,J,Y,Y,120,89.62,N
RR034B_293_fecRa,RR034B_293_fecRa_S83,feces,RNA,12/14/18,Pteropus rufus,MLB003,"Mahialambo, Madagascar",N,,m,J,Y,N,190,119.32,N
RR034B_294_fecRa,RR034B_294_fecRa_S85,feces,RNA,12/16/18,Pteropus rufus,MLB004,"Mahialambo, Madagascar",N,,f,NL,Y - last year,N,480,151.32,N
RR034B_295_fecRa,RR034B_295_fecRa_S87,feces,RNA,12/17/18,Pteropus rufus,MLB005,"Mahialambo, Madagascar",N,,m,A,N,N,740,170,N
RR034B_296_fecRa,RR034B_296_fecRa_S91,feces,RNA,12/18/18,Pteropus rufus,MLB006,"Mahialambo, Madagascar",N,,f,L,N,Y,500,160,N
RR034B_297_fecRa,RR034B_297_fecRa_S93,feces,RNA,12/18/18,Pteropus rufus,MLB007,"Mahialambo, Madagascar",N,,f,J,Y,Y,180,122.75,N